Ticker,Ticker,Name,Sector,Industry,Location,Exchange,DataType,Beta,P/E,Price,Market cap,52_High,52_low,Last Cash Flow
AAPL,AAPL,APPLE INC,Information Technology,"Computers, Phones & Household Electronics",United States,NASDAQ,,1.2864,32.0936,189.505,2.98067E+12,190.07,124.17,111443
MSFT,MSFT,MICROSOFT CORP,Information Technology,Software & IT Services,United States,NASDAQ,,0.9191,36.4032,334.43,2.48665E+12,351.47,213.431,65149
AMZN,AMZN,AMAZON COM INC,Consumer Discretionary,Diversified Retail,United States,NASDAQ,,1.2601,312.8622,128.1999,1.31538E+12,146.57,81.43,-16893
NVDA,NVDA,NVIDIA CORP,Information Technology,Semiconductors & Semiconductor Equipment,United States,NASDAQ,,1.7437,213.6869,409.2701,1.0109E+12,439.9,108.13,3808
GOOGL,GOOGL,ALPHABET INC CLASS A,Communication,Software & IT Services,United States,NASDAQ,,1.0743,26.7456,119.31,1.53121E+12,129.04,83.34,60010
TSLA,TSLA,TESLA INC,Consumer Discretionary,Automobiles & Auto Parts,United States,NASDAQ,,2.0339,75.441,256.04,8.1152E+11,314.6664,101.81,7552
META,META,META PLATFORMS INC CLASS A,Communication,Software & IT Services,United States,NASDAQ,,1.1924,35.4257,282.75,7.24612E+11,289.79,88.09,19044
GOOG,GOOG,ALPHABET INC CLASS C,Communication,Software & IT Services,United States,NASDAQ,,1.0743,26.9627,120.22,1.53121E+12,129.55,83.45,60010
BRKB,BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Consumer Goods Conglomerates,United States,New York Stock Exchange Inc.,,0.8772,95.92,310.6,7.33257E+11,,,7552
UNH,UNH,UNITEDHEALTH GROUP INC,Health Care,Healthcare Providers & Services,United States,New York Stock Exchange Inc.,,0.6673,21.699,476.74,4.4386E+11,558.1,445.68,23404
XOM,XOM,EXXON MOBIL CORP,Energy,Oil & Gas,United States,New York Stock Exchange Inc.,,1.0757,7.134,106.15,4.29164E+11,119.92,80.69,58390
JNJ,JNJ,JOHNSON & JOHNSON,Health Care,Pharmaceuticals,United States,New York Stock Exchange Inc.,,0.5472,34.0907,163.9,4.25933E+11,181.039,150.11,19758
JPM,JPM,JPMORGAN CHASE & CO,Financials,Banking Services,United States,New York Stock Exchange Inc.,,1.0794,10.2243,142.98,4.17829E+11,144.34,101.28,107119
LLY,LLY,ELI LILLY,Health Care,Pharmaceuticals,United States,New York Stock Exchange Inc.,,0.3683,72.8173,464.34,4.40785E+11,468.53,296.32,5230
V,V,VISA INC CLASS A,Financials,Software & IT Services,United States,New York Stock Exchange Inc.,,0.9633,30.4759,234.34,4.80197E+11,235.568,174.6,17879
PG,PG,PROCTER & GAMBLE,Consumer Staples,Personal & Household Products & Services,United States,New York Stock Exchange Inc.,,0.4059,26.1236,149.0366,3.51275E+11,158.11,122.18,13567
AVGO,AVGO,BROADCOM INC,Information Technology,Semiconductors & Semiconductor Equipment,United States,NASDAQ,,1.0976,26.5288,857.63,3.53931E+11,921.7799,415.0682,16312
MA,MA,MASTERCARD INC CLASS A,Financials,Software & IT Services,United States,New York Stock Exchange Inc.,,1.1036,37.9771,387.11,3.66837E+11,392.2,276.87,10098
HD,HD,HOME DEPOT INC,Consumer Discretionary,Specialty Retailers,United States,New York Stock Exchange Inc.,,0.9409,18.6661,307.225,3.08877E+11,347.25,265.61,11496
MRK,MRK,MERCK & CO INC,Health Care,Pharmaceuticals,United States,New York Stock Exchange Inc.,,0.3601,21.9406,113.36,2.87644E+11,119.65,84.52,14707
CVX,CVX,CHEVRON CORP,Energy,Oil & Gas,United States,New York Stock Exchange Inc.,,1.1596,8.3751,155.36,2.92218E+11,189.68,132.54,37600
PEP,PEP,PEPSICO INC,Consumer Staples,Beverages,United States,NASDAQ,,0.5455,38.1229,183.6,2.52944E+11,196.88,160.98,10811
COST,COST,COSTCO WHOLESALE CORP,Consumer Staples,Diversified Retail,United States,NASDAQ,,0.7918,39.4735,530.82,2.35232E+11,564.75,447.9,3501
KO,KO,COCA-COLA,Consumer Staples,Beverages,United States,New York Stock Exchange Inc.,,0.5485,26.6577,60.265,2.60621E+11,65.47,54.015,9534
ABBV,ABBV,ABBVIE INC,Health Care,Pharmaceuticals,United States,New York Stock Exchange Inc.,,0.5369,31.2654,133.38,2.35321E+11,168.11,130.9601,24248
WMT,WMT,WALMART INC,Consumer Staples,Food & Drug Retailing,United States,New York Stock Exchange Inc.,,0.5034,37.435,153.91,4.14454E+11,158.23,119.89,12244
ADBE,ADBE,ADOBE INC,Information Technology,Software & IT Services,United States,NASDAQ,,1.315,46.066,483.705,2.21875E+11,518.74,274.73,7396
MCD,MCD,MCDONALDS CORP,Consumer Discretionary,Hotels & Entertainment Services,United States,New York Stock Exchange Inc.,,0.6372,31.314,294.145,2.14753E+11,298.86,230.58,5488
CSCO,CSCO,CISCO SYSTEMS INC,Information Technology,Communications & Networking,United States,NASDAQ,,0.9825,18.2904,51.125,2.08337E+11,52.56,38.605,12749
PFE,PFE,PFIZER INC,Health Care,Pharmaceuticals,United States,New York Stock Exchange Inc.,,0.6071,7.1521,36.055,2.03542E+11,54.93,35.76,26031
CRM,CRM,SALESFORCE INC,Information Technology,Software & IT Services,United States,New York Stock Exchange Inc.,,1.2127,558.695,211.13,2.05641E+11,225,126.34,6313
TMO,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Healthcare Equipment & Supplies,United States,New York Stock Exchange Inc.,,0.7856,33.2329,514.43,1.98427E+11,611.06,475.77,6911
BAC,BAC,BANK OF AMERICA CORP,Financials,Banking Services,United States,New York Stock Exchange Inc.,,1.3723,8.8272,28.655,2.28356E+11,38.6,26.32,-6327
ACN,ACN,ACCENTURE PLC CLASS A,Information Technology,Software & IT Services,United States,New York Stock Exchange Inc.,,1.2226,26.8789,309.04,2.05299E+11,327.93,242.8,8823
NFLX,NFLX,NETFLIX INC,Communication,Software & IT Services,United States,NASDAQ,,1.2671,50.5934,430.21,1.91246E+11,448.65,169.702,1619
ABT,ABT,ABBOTT LABORATORIES,Health Care,Healthcare Equipment & Supplies,United States,New York Stock Exchange Inc.,,0.667,32.6233,107.625,1.87154E+11,115.69,93.25,7804
